AREA_INF;PUERTO_PRESCRITO;PUERTO;COD_PUERTO;PESQUERIA;ESTRATO_RIM;COD_ORIGEN;ARTE;COD_ARTE;METIER_DCF;CALADERO_DCF
GN;Cedeira;Cedeira;0904;VOLANTA_CN;VOLANTA_CN;010;volanta;202;GNS_DEF_80-99_0_0;Iberian (VIIIc-IX)
GN;Cedeira;Cedeira;0904;VOLANTA_CN;VOLANTA_CN;008;volanta;202;GNS_DEF_80-99_0_0;Iberian (VIIIc-IX)
GN;Celeiro;Cillero;0926;ENMALLE_AC;ENMALLE_AC;038;volanta;202;GNS_DEF_>=100_0_0;Bay of Biscay (VIIIabde)
GN;Celeiro;Cillero;0926;ENMALLE_AC;ENMALLE_AC;002;volanta;202;GNS_DEF_120-219_0_0;Western Ireland (VIIbcjk)
GN;Celeiro;Cillero;0926;BETA_CN / TRASMALLO_CN;TRASMALL_CN;009;trasmallo;204;GTR_DEF_60-79_0_0;Iberian (VIIIc-IX)
GN;Celeiro;Cillero;0926;BETA_CN / TRASMALLO_CN;BETA_CN;008;beta;201;GNS_DEF_60-79_0_0;Iberian (VIIIc-IX)
GN;Celeiro;Cillero;0926;PALANGRE_AC;PALANGRE_AC;002;palangre de fondo;302;LLS_DEF_0_0_0;Celtic Sea (VIIfgh)/Western Ireland (VIIbcjk)
GN;Celeiro;Cillero;0926;BETA_CN / TRASMALLO_CN;BETA_CN;009;beta;201;GNS_DEF_60-79_0_0;Iberian (VIIIc-IX)
GN;Celeiro;Cillero;0926;BETA_CN / TRASMALLO_CN;TRASMALL_CN;010;trasmallo;204;GTR_DEF_60-79_0_0;Iberian (VIIIc-IX)
GN;Celeiro;Cillero;0926;BETA_CN / TRASMALLO_CN;TRASMALL_CN;008;trasmallo;204;GTR_DEF_60-79_0_0;Iberian (VIIIc-IX)
GN;Celeiro;Cillero;0926;PALANGRE_AC;PALANGRE_AC;001;palangre de fondo;302;LLS_DEF_0_0_0;Western Scotland (VI)
GN;Celeiro;Cillero;0926;BETA_CN / TRASMALLO_CN;BETA_CN;010;beta;201;GNS_DEF_60-79_0_0;Iberian (VIIIc-IX)
GN;Celeiro;Cillero;0926;PALANGRE_AC;PALANGRE_AC;038;palangre de fondo;302;LLS_DEF_0_0_0;Bay of Biscay (VIIIabde)
GS;Fisterra;Finisterre;0913;BETA_CN / TRASMALLO_CN;TRASMALL_CN;008;trasmallo;204;GTR_DEF_60-79_0_0;Iberian (VIIIc-IX)
GS;Fisterra;Finisterre;0913;PALANGRE_CN;PALANGRE_CN;008;palangre de fondo;302;LLS_DEF_0_0_0;Iberian (VIIIc-IX)
GS;Fisterra;Finisterre;0913;PALANGRE_CN;PALANGRE_CN;010;palangre de fondo;302;LLS_DEF_0_0_0;Iberian (VIIIc-IX)
GS;Fisterra;Finisterre;0913;VOLANTA_CN;VOLANTA_CN;010;volanta;202;GNS_DEF_80-99_0_0;Iberian (VIIIc-IX)
GS;Fisterra;Finisterre;0913;VOLANTA_CN;VOLANTA_CN;008;volanta;202;GNS_DEF_80-99_0_0;Iberian (VIIIc-IX)
GS;Fisterra;Finisterre;0913;VOLANTA_CN;VOLANTA_CN;009;volanta;202;GNS_DEF_80-99_0_0;Iberian (VIIIc-IX)
GS;Fisterra;Finisterre;0913;BETA_CN / TRASMALLO_CN;BETA_CN;009;beta;201;GNS_DEF_60-79_0_0;Iberian (VIIIc-IX)
GS;Fisterra;Finisterre;0913;BETA_CN / TRASMALLO_CN;BETA_CN;008;beta;201;GNS_DEF_60-79_0_0;Iberian (VIIIc-IX)
GS;Fisterra;Finisterre;0913;BETA_CN / TRASMALLO_CN;BETA_CN;010;beta;201;GNS_DEF_60-79_0_0;Iberian (VIIIc-IX)
GS;Fisterra;Finisterre;0913;PALANGRE_CN;PALANGRE_CN;009;palangre de fondo;302;LLS_DEF_0_0_0;Iberian (VIIIc-IX)
GS;Fisterra;Finisterre;0913;BETA_CN / TRASMALLO_CN;TRASMALL_CN;010;trasmallo;204;GTR_DEF_60-79_0_0;Iberian (VIIIc-IX)
GS;Fisterra;Finisterre;0913;BETA_CN / TRASMALLO_CN;TRASMALL_CN;009;trasmallo;204;GTR_DEF_60-79_0_0;Iberian (VIIIc-IX)
AC;Gijón;Gijón;1417;BACA_AC;BACA_AC;038;baca;102;OTB_DEF_>=70_0_0;Bay of Biscay (VIIIabde)
AC;Avilés / Gijón;Gijón;1417;PAREJA_CN;PAREJA_CN;009;pareja;104;PTB_MPD_>=55_0_0;Iberian (VIIIc-IX)
AC;Avilés / Gijón;Gijón;1417;BACA_CN / JURELERA_CN;BACA_CN;008;baca;102;OTB_DEF_>=55_0_0;Iberian (VIIIc-IX)
AC;Avilés / Gijón;Gijón;1417;BACA_CN / JURELERA_CN;JURELERA_CN;008;baca;102;OTB_MPD_>=55_0_0;Iberian (VIIIc-IX)
AC;Avilés / Gijón;Gijón;1417;BETA_CN / TRASMALLO_CN;BETA_CN;008;beta;201;GNS_DEF_60-79_0_0;Iberian (VIIIc-IX)
AC;Avilés / Gijón;Gijón;1417;BACA_CN / JURELERA_CN;BACA_CN;010;baca;102;OTB_DEF_>=55_0_0;Iberian (VIIIc-IX)
AC;Avilés / Gijón;Gijón;1417;PAREJA_CN;PAREJA_CN;010;pareja;104;PTB_MPD_>=55_0_0;Iberian (VIIIc-IX)
AC;Avilés / Gijón;Gijón;1417;BETA_CN / TRASMALLO_CN;TRASMALL_CN;010;trasmallo;204;GTR_DEF_60-79_0_0;Iberian (VIIIc-IX)
