METIER_DCF;CALADERO_DCF;UNIPESCOD;ORICOD
LLS_DEF_0_0_0;Iberian (VIIIc-IX);PALANGRE_AP;058
PS_SPF_0_0_0;Iberian (VIIIc-IX);CERCO_CN;058
OTB_MCD_>=55_0_0;Iberian (VIIIc-IX);BACA_AP;066
OTB_DEF_>=55_0_0;Bay of Biscay (VIIIabde);BACA_CN;015
GNS_DEF_60-79_0_0;Bay of Biscay (VIIIabde);BETA_CN;015
GNS_DEF_120-219_0_0;Bay of Biscay (VIIIabde);ENMALLE_AC;006
GNS_DEF_>=100_0_0;Bay of Biscay (VIIIabde);ENMALLE_AC;014
GNS_DEF_>=100_0_0;Bay of Biscay (VIIIabde);ENMALLE_AC;015
LHM_DEF_0_0_0;Bay of Biscay (VIIIabde);LIN_MERLUZA;015
OTB_DEF_100-119_0_0;Bay of Biscay (VIIIabde);MERLUCER_AC;015
LLS_DEF_0_0_0;Bay of Biscay (VIIIabde);PALANGRE_AC;006
LLS_DEF_0_0_0;Western Scotland (VI);PALANGRE_AC;026
LLS_DEF_0_0_0;Celtic Sea (VIIfgh);PALANGRE_AC;034
LLS_DEF_0_0_0;Bay of Biscay (VIIIabde);PALANGRE_CN;015
PTB_DEF_>=70_0_0;Bay of Biscay (VIIIabde);PAREJA_AC;006
GTR_DEF_60-79_0_0;Bay of Biscay (VIIIabde);TRASMALL_CN;015
PTB_MPD_>=55_0_0;Bay of Biscay (VIIIabde);PAREJA_CN;015
OTB_DEF_70-99_0_0;Western Scotland (VI);RAPANTER_AC;019
GNS_DEF_>=100_0_0;Bay of Biscay (VIIIabde);RASCO_CN;015
PS_SPF_0_0_0;Bay of Biscay (VIIIabde);CERCO_CN;006
PS_SPF_0_0_0;Bay of Biscay (VIIIabde);CERCO_CN;014
OTB_DEF_>=55_0_0;Iberian (VIIIc-IX);BACA_APN;012
OTB_MCD_>=55_0_0;Iberian (VIIIc-IX);BACA_APS;012
OTB_DEF_>=55_0_0;Iberian (VIIIc-IX);BACA_CN;003
OTB_DEF_>=70_0_0;Bay of Biscay (VIIIabde);BACA_AC;006
GNS_DEF_60-79_0_0;Iberian (VIIIc-IX);BETA_CN;003
PS_SPF_0_0_0;Iberian (VIIIc-IX);CERCO_CN;044
PS_SPF_0_0_0;Iberian (VIIIc-IX);CERCO_CN;045
LHM_CEP_0_0_0;Iberian (VIIIc-IX);LIN_CALAMAR;003
LHM_DEF_0_0_0;Iberian (VIIIc-IX);LIN_MERLUZA;003
LLS_DEF_0_0_0;Iberian (VIIIc-IX);PALANGRE_CN;003
GNS_DEF_>=100_0_0;Iberian (VIIIc-IX);RASCO_CN;003
GTR_DEF_60-79_0_0;Iberian (VIIIc-IX);TRASMALL_CN;003
GNS_DEF_80-99_0_0;Iberian (VIIIc-IX);VOLANTA_CN;003
OTB_MCF_>=70_0_0;Bay of Biscay (VIIIabde);OTB_MCF>70;038
OTB_MPD_>=70_0_0;Bay of Biscay (VIIIabde);OTB_MPD>70;038
OTB_MCF_>=70_0_0;Bay of Biscay (VIIIabde);OTB_MCF>70;014
OTB_MCF_>=70_0_0;Bay of Biscay (VIIIabde);OTB_MCF>70;015
OTB_MPD_>=70_0_0;Bay of Biscay (VIIIabde);OTB_MPD>70;014
OTB_MPD_>=70_0_0;Bay of Biscay (VIIIabde);OTB_MPD>70;015
OTB_DEF_>=55_0_0;Iberian (VIIIc-IX);BACA_CN;005
OTB_DEF_>=55_0_0;Iberian (VIIIc-IX);BACA_APN;005
GNS_DEF_60-79_0_0;Iberian (VIIIc-IX);BETA_CN;005
GNS_DEF_80-99_0_0;Iberian (VIIIc-IX);VOLANTA_CN;005
LLS_DEF_0_0_0;Iberian (VIIIc-IX);PALANGRE_CN;045
OTB_DEF_>=55_0_0;Iberian (VIIIc-IX);BACA_CN;045
