AÑO_ACTIVO;CODIGO_BUQUE;CODIGO_UE;CODIGO_CFR;NOMBRE_BUQUE;MATRICULA;FOLIO;DISTINTIVO;LISTA;CENSOPORMODALIDAD;CALADERO;MODALIDAD;LABORATORIO_PTOBASE;CODIGO_PUERTO_BASE;PUERTO_BASE;VERNACULO;PROVINCIA;AUTONOMIA_PUERTO_BASE;ESTADO;PAIS_EXPORTACION;FECHA_ALTA_CENSO;FECHA_SITUACION;FECHA_ENTRADA_SERVICIO;IRREGULAR;ESLORA_TOTAL;ESLORA_PP;LOA;ARQUEO_TRB;ARQUEO_GT;SITUACION_GT;POTENCIA_CV;POTENCIA_KW;TIPO_CASCO;AÑO_CONST
2018;52062;ESP000052062;ESP000052062;MARIPOSA;CO-2;3839   ;;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;22310;LAGE;LAXE;A CORUÑA;GALICIA;ALTA DEFINITIVA;;10/5/1989 0:00:00;10/5/1989 0:00:00;28/6/1955 0:00:00;NO;7,81;4,25;VL0010;1,02;1,67;DEFINITIVO;30,00;22,07;MADERA;1955
2018;52066;ESP000052066;ESP000052066;RELAMPAGO;CO-2;3598   ;;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;22410;CAMELLE;CAMELLE;A CORUÑA;GALICIA;BAJA PROVISIONAL;;10/5/1989 0:00:00;26/1/2018 0:00:00;5/6/1975 0:00:00;NO;6,45;;VL0010;0,53;1,65;DEFINITIVO;50,00;36,79;POLIESTER;1974
2018;52074;ESP000052074;ESP000052074;MARIA ELENA;CO-4;1782   ;;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;22410;CAMELLE;CAMELLE;A CORUÑA;GALICIA;ALTA DEFINITIVA;;10/5/1989 0:00:00;10/5/1989 0:00:00;1/10/1980 0:00:00;NO;5,45;;VL0010;1,30;1,42;DEFINITIVO;30,00;22,07;POLIESTER;1979
2018;52075;ESP000052075;ESP000052075;MARIA ESPERANZA;CO-4;1820   ;;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;22400;CAMARIÑAS;CAMARIÑAS;A CORUÑA;GALICIA;ALTA DEFINITIVA;;10/5/1989 0:00:00;10/5/1989 0:00:00;1/10/1980 0:00:00;NO;5,90;;VL0010;1,27;1,25;DEFINITIVO;27,00;19,86;POLIESTER;1980
2018;52080;ESP000052080;ESP000052080;SEVERO;VILL-3;9957   ;;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;23320;RIANJO;RIANXO;PONTEVEDRA;GALICIA;ALTA DEFINITIVA;;10/5/1989 0:00:00;10/5/1989 0:00:00;21/8/1986 0:00:00;NO;4,60;;VL0010;0,96;0,41;DEFINITIVO;;0,00;MADERA;1985
2018;52082;ESP000052082;ESP000052082;SOMOS DOS;VILL-3;9651   ;;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;23320;RIANJO;RIANXO;PONTEVEDRA;GALICIA;ALTA DEFINITIVA;;10/5/1989 0:00:00;10/5/1989 0:00:00;13/4/1983 0:00:00;NO;4,95;;VL0010;1,02;0,98;DEFINITIVO;20,00;14,71;POLIESTER;1983
2018;52083;ESP000052083;ESP000052083;REBOREDO;VILL-3;8324   ;;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;23100;STA. EUGENIA RIVEIRA;RIBEIRA;A CORUÑA;GALICIA;ALTA DEFINITIVA;;10/5/1989 0:00:00;10/5/1989 0:00:00;26/6/1968 0:00:00;NO;5,05;;VL0010;0,84;1,02;DEFINITIVO;25,00;18,39;POLIESTER;1968
2018;52084;ESP000052084;ESP000052084;REDERA;VILL-3;8196   ;;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;23320;RIANJO;RIANXO;PONTEVEDRA;GALICIA;ALTA DEFINITIVA;;10/5/1989 0:00:00;10/5/1989 0:00:00;15/12/1966 0:00:00;NO;5,48;;VL0010;0,68;1,22;DEFINITIVO;30,00;22,07;POLIESTER;1966
2018;52090;ESP000052090;ESP000052090;PAZ;VILL-3;9574   ;;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;23210;CABO DE CRUZ - BOIRO;CABO DE CRUZ;A CORUÑA;GALICIA;ALTA DEFINITIVA;;10/5/1989 0:00:00;10/5/1989 0:00:00;29/11/1982 0:00:00;NO;5,65;;VL0010;0,83;1,26;DEFINITIVO;25,00;18,39;POLIESTER;1982
2018;52091;ESP000052091;ESP000052091;PORQUE SI;VILL-3;9798   ;;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;23320;RIANJO;RIANXO;PONTEVEDRA;GALICIA;ALTA DEFINITIVA;;10/5/1989 0:00:00;10/5/1989 0:00:00;25/4/1984 0:00:00;NO;5,68;;VL0010;1,30;1,31;DEFINITIVO;25,00;18,39;POLIESTER;1984
2018;52093;ESP000052093;ESP000052093;ISA EVA;4VILL3;119-91 ;;4;SIN CENSO ABIERTO;NO_ICES;;IEO;23320;RIANJO;RIANXO;PONTEVEDRA;GALICIA;ALTA DEFINITIVA;;10/5/1989 0:00:00;10/5/1989 0:00:00;19/10/1984 0:00:00;NO;4,80;;VL0010;1,00;0,36;PROVISIONAL;25,00;18,39;MADERA;
2018;52095;ESP000052095;ESP000052095;SAMARA I;VILL-3;8008   ;;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;23340;VILLANUEVA                    ;VILANOVA;PONTEVEDRA;GALICIA;ALTA DEFINITIVA;;10/5/1989 0:00:00;24/1/2000 0:00:00;14/4/1965 0:00:00;NO;5,05;;VL0010;0,88;1,00;DEFINITIVO;25,00;18,39;POLIESTER;1965
2018;52098;ESP000052098;ESP000052098;ADEJA;4VILL3;198-91 ;;4;SIN CENSO ABIERTO;NO_ICES;;IEO;23320;RIANJO;RIANXO;PONTEVEDRA;GALICIA;ALTA DEFINITIVA;;10/5/1989 0:00:00;10/5/1989 0:00:00;24/10/1986 0:00:00;NO;4,60;;VL0010;1,25;0,59;DEFINITIVO;10,00;7,35;MADERA;
2018;52100;ESP000052100;ESP000052100;CARMEN;VILL-3;3402   ;;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;23340;VILLANUEVA;VILANOVA;PONTEVEDRA;GALICIA;ALTA DEFINITIVA;;10/5/1989 0:00:00;10/5/1989 0:00:00;10/3/1930 0:00:00;NO;5,10;;VL0010;1,26;1,22;DEFINITIVO;17,00;12,50;POLIESTER;1930
2018;52103;ESP000052103;ESP000052103;NUCA;VILL-3;9242   ;;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;23340;VILLANUEVA;VILANOVA;PONTEVEDRA;GALICIA;ALTA DEFINITIVA;;10/5/1989 0:00:00;10/5/1989 0:00:00;30/10/1979 0:00:00;NO;4,90;;VL0010;0,97;0,83;DEFINITIVO;40,00;29,43;POLIESTER;1979
2018;52105;ESP000052105;ESP000052105;MARIA;VILL-3;6365   ;;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;23340;VILLANUEVA;VILANOVA;PONTEVEDRA;GALICIA;ALTA DEFINITIVA;;10/5/1989 0:00:00;10/5/1989 0:00:00;21/10/1950 0:00:00;NO;5,50;;VL0010;0,74;1,10;DEFINITIVO;15,00;11,03;POLIESTER;1949
2018;52108;ESP000052108;ESP000052108;OJO;VILL-3;8046   ;;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;23340;VILLANUEVA;VILANOVA;PONTEVEDRA;GALICIA;ALTA DEFINITIVA;;10/5/1989 0:00:00;10/5/1989 0:00:00;25/8/1965 0:00:00;NO;5,60;;VL0010;0,75;1,23;DEFINITIVO;25,00;18,39;POLIESTER;1965
2018;52109;ESP000052109;ESP000052109;MAPAZ;VILL-3;8496   ;;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;23340;VILLANUEVA;VILANOVA;PONTEVEDRA;GALICIA;ALTA DEFINITIVA;;10/5/1989 0:00:00;10/5/1989 0:00:00;16/10/1970 0:00:00;NO;5,55;;VL0010;1,20;1,14;DEFINITIVO;25,00;18,39;POLIESTER;1970
2018;52111;ESP000052111;ESP000052111;LA FLOR DEL ROMERO;VILL-3;7360   ;;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;23340;VILLANUEVA;VILANOVA;PONTEVEDRA;GALICIA;ALTA DEFINITIVA;;10/5/1989 0:00:00;10/5/1989 0:00:00;28/1/1959 0:00:00;NO;4,64;;VL0010;0,97;0,70;DEFINITIVO;8,00;5,88;POLIESTER;1958
2018;52117;ESP000052117;ESP000052117;JELINES;VILL-3;9603   ;;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;23310;CARRIL                        ;CARRIL;PONTEVEDRA;GALICIA;ALTA DEFINITIVA;;10/5/1989 0:00:00;10/5/1989 0:00:00;26/1/1983 0:00:00;NO;5,30;;VL0010;0,82;1,13;DEFINITIVO;30,00;22,07;POLIESTER;1982
2018;52118;ESP000052118;ESP000052118;MARINERA;VILL-3;7326   ;;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;23320;RIANJO;RIANXO;PONTEVEDRA;GALICIA;ALTA DEFINITIVA;;10/5/1989 0:00:00;10/5/1989 0:00:00;18/11/1958 0:00:00;NO;5,67;;VL0010;0,86;1,07;DEFINITIVO;25,00;18,39;POLIESTER;1958
2018;52120;ESP000052120;ESP000052120;MARIA TERESA;VILL-3;6742   ;;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;23320;RIANJO;RIANXO;PONTEVEDRA;GALICIA;ALTA DEFINITIVA;;10/5/1989 0:00:00;10/5/1989 0:00:00;9/8/1954 0:00:00;NO;5,50;;VL0010;0,96;1,25;DEFINITIVO;60,00;44,15;POLIESTER;1953
2018;52122;ESP000052122;ESP000052122;NAI;VILL-3;9521   ;;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;23320;RIANJO;RIANXO;PONTEVEDRA;GALICIA;ALTA DEFINITIVA;;10/5/1989 0:00:00;10/5/1989 0:00:00;23/6/1982 0:00:00;NO;5,42;;VL0010;0,89;1,25;DEFINITIVO;20,00;14,71;POLIESTER;1982
2018;52125;ESP000052125;ESP000052125;LOLITA;VILL-3;9454   ;;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;22700;NOYA                          ;NOIA;A CORUÑA;GALICIA;ALTA DEFINITIVA;;10/5/1989 0:00:00;10/5/1989 0:00:00;24/9/1981 0:00:00;NO;4,85;;VL0010;1,08;0,64;DEFINITIVO;15,00;11,03;POLIESTER;1981
2018;52130;ESP000052130;ESP000052130;CERQUEIRAS REY;VILL-3;9745   ;;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;22700;NOYA                          ;NOIA;A CORUÑA;GALICIA;ALTA DEFINITIVA;;10/5/1989 0:00:00;10/5/1989 0:00:00;17/10/1983 0:00:00;NO;5,52;;VL0010;0,92;0,72;DEFINITIVO;9,90;7,28;POLIESTER;1983
2018;52131;ESP000052131;ESP000052131;BRINCA;VILL-3;9439   ;;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;22520;FINISTERRE                    ;FISTERRA;A CORUÑA;GALICIA;ALTA DEFINITIVA;;10/5/1989 0:00:00;10/5/1989 0:00:00;27/7/1981 0:00:00;NO;5,03;;VL0010;2,10;0,90;DEFINITIVO;15,00;11,03;POLIESTER;1980
2018;52132;ESP000052132;ESP000052132;BRAVA;VILL-3;9433   ;;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;23320;RIANJO;RIANXO;PONTEVEDRA;GALICIA;ALTA DEFINITIVA;;10/5/1989 0:00:00;10/5/1989 0:00:00;23/6/1981 0:00:00;NO;5,50;;VL0010;2,40;1,26;DEFINITIVO;25,00;18,39;POLIESTER;1981
2018;52136;ESP000052136;ESP000052136;ALNOR NUMERO DOS;VILL-3;9368   ;;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;22700;NOYA                          ;NOIA;A CORUÑA;GALICIA;ALTA DEFINITIVA;;10/5/1989 0:00:00;15/12/2017 0:00:00;20/10/1980 0:00:00;NO;5,07;;VL0010;0,78;0,80;DEFINITIVO;13,60;10,00;POLIESTER;1980
2018;52138;ESP000052138;ESP000052138;TUCHA;VILL-3;6029   ;;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;23340;VILLANUEVA;VILANOVA;PONTEVEDRA;GALICIA;ALTA DEFINITIVA;;10/5/1989 0:00:00;10/5/1989 0:00:00;6/11/1948 0:00:00;NO;4,90;;VL0010;1,00;0,87;DEFINITIVO;4,50;3,31;POLIESTER;1948
2018;52139;ESP000052139;ESP000052139;NOVA;VILL-3;9841   ;;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;23340;VILLANUEVA;VILANOVA;PONTEVEDRA;GALICIA;ALTA DEFINITIVA;;10/5/1989 0:00:00;10/5/1989 0:00:00;11/12/1976 0:00:00;SI;5,00;;VL0010;1,24;0,38;DEFINITIVO;50,00;36,79;MADERA;1976
2018;52146;ESP000052146;ESP000052146;DORITA;VI-4;5249   ;;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;24400;CANGAS                        ;CANGAS;PONTEVEDRA;GALICIA;ALTA DEFINITIVA;;10/5/1989 0:00:00;10/5/1989 0:00:00;2/11/1976 0:00:00;NO;5,38;;VL0010;0,83;1,36;DEFINITIVO;25,00;18,39;POLIESTER;1976
