METIER_DCF;CALADERO_DCF;ESTRATO_RIM;COD_ORIGEN;ORIGEN;COD_ARTE;ARTE
OTB_DEF_70-99_0_0;Western Scotland (VI);RAPANTER_AC;001;Subárea VI (ICES);102;BACA
OTB_DEF_70-99_0_0;Celtic Sea (VIIfgh)/Western Ireland (VIIbcjk);RAPANTER_AC;002;Subárea VII (ICES);102;BACA
OTB_DEF_70-99_0_0;Western Scotland (VI);RAPANTER_AC;019;División VIb;102;BACA
OTB_DEF_70-99_0_0;Western Ireland (VIIbcjk);RAPANTER_AC;030;División VIIb;102;BACA
OTB_DEF_70-99_0_0;Western Ireland (VIIbcjk);RAPANTER_AC;031;División VIIc;102;BACA
OTB_DEF_70-99_0_0;Celtic Sea (VIIfgh);RAPANTER_AC;033;División VIIg;102;BACA
OTB_DEF_70-99_0_0;Celtic Sea (VIIfgh);RAPANTER_AC;034;División VIIh;102;BACA
OTB_DEF_70-99_0_0;Western Ireland (VIIbcjk);RAPANTER_AC;035;División VIIk;102;BACA
OTB_DEF_70-99_0_0;Western Ireland (VIIbcjk);RAPANTER_AC;036;División VIIj;102;BACA
OTB_MCD_>=55_0_0;Iberian (VIIIc-IX);BACA_GC;011;Subdivisión IXa-Sur;102;BACA
OTB_MPD_>=55_0_0;Iberian (VIIIc-IX);JURELERA_CN;008;Subdivisión 8c-Este;102;BACA
OTB_MPD_>=55_0_0;Iberian (VIIIc-IX);JURELERA_CN;008;Subdivisión 8c-Este;103;GRAN ABERTURA VERTICAL
OTB_MPD_>=55_0_0;Iberian (VIIIc-IX);JURELERA_CN;009;Subdivisión 8c-Oeste;102;BACA
OTB_MPD_>=55_0_0;Iberian (VIIIc-IX);JURELERA_CN;009;Subdivisión 8c-Oeste;103;GRAN ABERTURA VERTICAL
OTB_MPD_>=55_0_0;Iberian (VIIIc-IX);JURELERA_CN;010;Subdivisión IXa-Norte;102;BACA
OTB_MPD_>=55_0_0;Iberian (VIIIc-IX);JURELERA_CN;010;Subdivisión IXa-Norte;103;GRAN ABERTURA VERTICAL
PS_SPF_0_0_0;Iberian (VIIIc-IX);CERCO_CN;008;Subdivisión 8c-Este;601;CERCO
PS_SPF_0_0_0;Iberian (VIIIc-IX);CERCO_CN;009;Subdivisión 8c-Oeste;601;CERCO
PS_SPF_0_0_0;Iberian (VIIIc-IX);CERCO_CN;010;Subdivisión IXa-Norte;601;CERCO
PS_SPF_0_0_0;Bay of Biscay (VIIIabde);CERCO_CN;038;Divisiones 8abde;601;CERCO
PS_SPF_0_0_0;Iberian (VIIIc-IX);CERCO_CN;058;Subdivisión IXa-Centro Norte;601;CERCO
PS_SPF_0_0_0;Iberian (VIIIc-IX);CERCO_GC;011;Subdivisión IXa-Sur;601;CERCO
PTB_MPD_>=55_0_0;Iberian (VIIIc-IX);PAREJA_CN;008;Subdivisión 8c-Este;104;PAREJA
PTB_MPD_>=55_0_0;Iberian (VIIIc-IX);PAREJA_CN;009;Subdivisión 8c-Oeste;104;PAREJA
PTB_MPD_>=55_0_0;Iberian (VIIIc-IX);PAREJA_CN;010;Subdivisión IXa-Norte;104;PAREJA
