Id;CODIGO_BUQUE;CODIGO_UE;NOMBRE_BUQUE;MATRICULA;FOLIO;DISTINTIVO;LISTA;CENSOPORMODALIDAD;CALADERO;MODALIDAD;LABORATORIO_PTOBASE;CODIGO_PUERTO_BASE;PUERTO_BASE;VERNACULO;PROVINCIA;AUTONOMIA_PUERTO_BASE;ESTADO;PAIS_EXPORTACION;FECHA_ALTA_CENSO;FECHA_SITUACION;FECHA_ENTRADA_SERVICIO;IRREGULAR;ESLORA_TOTAL;ESLORA_PP;LOA;ARQUEO_TRB;ARQUEO_GT;SITUACION_GT;POTENCIA_CV;POTENCIA_KW;TIPO_CASCO;AÑO_CONST;Observ
1289;23168;ESP000023168;NUEVO CREADOR;ST-4;1-96;EAME;3;CERCO EN CANTABRICO NW;1;CERCO;IEO;13400;SANTANDER;SANTANDER;CANTABRIA;CANTABRIA;ALTA DEFINITIVA;;08/04/1996;30/06/1996;03/04/1996;NO;27,54999924;22,70000076;VL2440;118,5199966;118,3300018;DEFINITIVO;340;250,18396;ACERO;1996;
1290;23170;ESP000023170;CATULI;ST-4;3-94;;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;13400;SANTANDER;SANTANDER;CANTABRIA;CANTABRIA;ALTA DEFINITIVA;;16/04/1996;14/03/2000;01/01/1994;NO;9,06000042;7,349999905;VL0010;2,769999981;2,619999886;DEFINITIVO;12;8,830021858;POLIESTER;1994;
1291;23171;ESP000023171;NUEVO ZUMAYA;VI-5;2-96;EA2418;3;PALANGRE DE SUPERFICIE CALADERO NACIONAL;NO_ICES;NO_ICES;IEO;24700;LA GUARDIA;A GUARDA;PONTEVEDRA;GALICIA;ALTA DEFINITIVA;;16/04/1996;30/06/1996;01/01/1996;NO;28;22,39999962;VL2440;102,8300018;184;DEFINITIVO;320;235,4672546;ACERO;1996;
1292;23174;ESP000023174;GEDI;VI-5;4-96;EA2481;3;PALANGRE DE SUPERFICIE EN AGUAS INTERNACIONALES;NO_ICES;NO_ICES;IEO;24700;LA GUARDIA;A GUARDA;PONTEVEDRA;GALICIA;ALTA DEFINITIVA;;25/04/1996;24/06/1996;12/04/1996;NO;28;22,39999962;VL2440;99,90000153;199;DEFINITIVO;580;426,7843933;ACERO;1996;
1293;23178;ESP000023178;SALETA;VILL-1;5-95;EA9559;3;CERCO EN CANTABRICO NW;1;CERCO;IEO;23110;CARREIRA-AGUIÑO;AGUIÑO;A CORUÑA;GALICIA;ALTA DEFINITIVA;;03/05/1996;30/06/1996;03/04/1996;NO;22;18,20000076;VL1824;44,54999924;80,55999756;DEFINITIVO;300;220,7505493;ACERO;1995;
1294;23179;ESP000023179;XUREL UNO;VILL-1;6-95;EA2300;3;CERCO EN CANTABRICO NW;1;CERCO;IEO;22400;CAMARIÑAS;CAMARIÑAS;A CORUÑA;GALICIA;ALTA DEFINITIVA;;03/05/1996;30/06/1996;22/01/1996;NO;25,70000076;20;VL2440;54,29999924;97,59999847;DEFINITIVO;350;257,5422974;ACERO;1995;
1295;23184;ESP000023184;NUEVO VILLA LLANES;FE-2;2-96;;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;21220;BURELA;BURELA;LUGO;GALICIA;ALTA DEFINITIVA;;13/05/1996;13/05/1996;07/05/1996;NO;11;9,800000191;VL1012;5,800000191;6,420000076;DEFINITIVO;40;29,43340683;MADERA;1996;
1296;23185;ESP000023185;BEN FEITO DOUS;VI-3;11-95;;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;24300;BUEU;BUEU;PONTEVEDRA;GALICIA;ALTA DEFINITIVA;;14/05/1996;14/05/1996;30/11/1995;NO;8,600000381;6,5;VL0010;4,449999809;3,829999924;DEFINITIVO;40;29,43340683;MADERA;1995;
1297;23186;ESP000023186;RULABA;VI-4;1-96;;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;24400;CANGAS;CANGAS;PONTEVEDRA;GALICIA;ALTA DEFINITIVA;;14/05/1996;14/05/1996;13/01/1996;NO;9,25;;VL0010;5,789999962;6,190000057;DEFINITIVO;40;29,43340683;POLIESTER;1996;
1298;23189;ESP000023189;NUEVO CHISU;ST-2;1-96;EA2451;3;PALANGRE DE FONDO EN CANTABRICO NW;1;PALANGRE;IEO;13200;LAREDO;LAREDO;CANTABRIA;CANTABRIA;ALTA DEFINITIVA;;27/05/1996;30/06/1996;30/04/1996;NO;19,5;15;VL1824;36,45999908;41,20000076;DEFINITIVO;160;117,7336273;ACERO;1996;
