"CODIGO_BUQUE";"CODIGO_UE";"CODIGO_CFR";"NOMBRE_BUQUE";"MATRICULA";"FOLIO";"DISTINTIVO";"LISTA";"CENSOPORMODALIDAD";"CALADERO";"MODALIDAD";"ESTADO";"PAIS_EXPORTACION";"FECHA_ALTA_CENSO";"FECHA_SITUACION";"FECHA_ENTRADA_SERVICIO";"IRREGULAR";"ESLORA_TOTAL";"ESLORA_PP";"LOA";"ARQUEO_TRB";"ARQUEO_GT";"SITUACION_GT";"POTENCIA_CV";"POTENCIA_KW";"TIPO_CASCO";"AÑO_CONST"
54313;"ESP000054313";"ESP000054313";"MANUEL QUINTERO";"HU-1";"1175";;"3";"ARTES MENORES  EN EL GOLFO DE CADIZ";"2";"MENORES";"Alta Definitiva";;10/5/1989 0:00:00;10/5/1989 0:00:00;2/10/1968 0:00:00;"NO";4.80;;"VL0010";1.70;0.87;"DEFINITIVO";0.00;0.00;"Madera";1968
54314;"ESP000054314";"ESP000054314";"GEMA LOPEZ";"HU-1";"1190";;"3";"ARTES MENORES  EN EL GOLFO DE CADIZ";"2";"MENORES";"Alta Definitiva";;10/5/1989 0:00:00;7/4/2014 0:00:00;23/6/1970 0:00:00;"NO";6.77;;"VL0010";1.51;2.12;"DEFINITIVO";25.00;18.39;"Poliester";1970
54329;"ESP000054329";"ESP000054329";"NO HAY OTRA";"VILL-1";"4093   ";;"3";"ARTES MENORES EN CANTABRICO NW";"1";"MENORES";"ALTA DEFINITIVA";;10/5/1989 0:00:00;10/5/1989 0:00:00;2/4/1968 0:00:00;"NO";5.30;;"VL0010";0.81;1.11;"DEFINITIVO";8.00;5.88;"POLIESTER";1968
54366;"ESP000054366";"ESP000054366";"CULIBRI";"SE-1";"793    ";;"3";"ARTES MENORES  EN EL GOLFO DE CADIZ";"2";"MENORES";"ALTA DEFINITIVA";;10/5/1989 0:00:00;10/5/1989 0:00:00;21/10/1983 0:00:00;"NO";8.30;;"VL0010";1.02;2.43;"DEFINITIVO";48.00;35.32;"MADERA";1983
54371;"ESP000054371";"ESP000054371";"MI NUEVO NANI";"SE-1";"436";;"3";"ARTES MENORES  EN EL GOLFO DE CADIZ";"2";"MENORES";"RETIRADA DE LA ACTIVIDAD PESQUERA";;10/5/1989 0:00:00;10/1/2019 0:00:00;27/2/1957 0:00:00;"NO";11.85;5.00;"VL1012";1.87;10.10;"PROVISIONAL";0.00;0.00;"Madera";1957
54422;"ESP000054422";"ESP000054422";"MARIA IVANA";"VI-1";"1946";;"3";"ARTES MENORES EN CANTABRICO NW";"1";"MENORES";"Alta Definitiva";;10/5/1989 0:00:00;17/5/2011 0:00:00;9/11/1979 0:00:00;"NO";4.60;;"VL0010";0.98;0.46;"DEFINITIVO";15.00;11.03;"Madera";1979
54424;"ESP000054424";"ESP000054424";"TAMPA";"4VILL3";"10-10";;"4";"ARTES MENORES EN CANTABRICO NW";"1";"MENORES";"Alta Definitiva";;10/5/1989 0:00:00;23/6/2008 0:00:00;8/9/1976 0:00:00;"NO";4.50;;"VL0010";1.05;0.43;"DEFINITIVO";10.00;7.35;"Madera";1976
54492;"ESP000054492";"ESP000054492";"ESPERANZA";"CT-4";"1004";;"3";"ARTES MENORES  EN EL GOLFO DE CADIZ";"2";"MENORES";"Alta Definitiva";;10/5/1989 0:00:00;10/5/1989 0:00:00;8/9/1958 0:00:00;"NO";5.24;4.70;"VL0010";0.96;0.68;"DEFINITIVO";0.00;0.00;"Madera";1958
54503;"ESP000054503";"ESP000054503";"FERNANDO";"CO-4";"1088   ";;"3";"ARTES MENORES EN CANTABRICO NW";"1";"MENORES";"ALTA DEFINITIVA";;10/5/1989 0:00:00;10/5/1989 0:00:00;18/1/1956 0:00:00;"NO";5.60;;"VL0010";0.89;1.14;"DEFINITIVO";25.00;18.39;"POLIESTER";1956
54506;"ESP000054506";"ESP000054506";"MARIA TERESA";"CO-4";"1876   ";;"3";"ARTES MENORES EN CANTABRICO NW";"1";"MENORES";"ALTA DEFINITIVA";;10/5/1989 0:00:00;10/5/1989 0:00:00;11/5/1984 0:00:00;"NO";6.00;;"VL0010";0.67;1.92;"DEFINITIVO";25.00;18.39;"POLIESTER";1984
54508;"ESP000054508";"ESP000054508";"PALOMA";"CO-4";"1937   ";;"3";"ARTES MENORES EN CANTABRICO NW";"1";"MENORES";"ALTA DEFINITIVA";;10/5/1989 0:00:00;10/5/1989 0:00:00;8/6/1987 0:00:00;"NO";7.00;;"VL0010";1.31;1.84;"DEFINITIVO";36.00;26.49;"POLIESTER";1987
